Scent - Farhan
168
3
4
7
6,0,0,0,
24,1,1,1,
27,2,2,0,
38,1,1,1,
41,2,2,0,
60,1,1,1,
63,2,2,0,
66,0,0,0,
90,1,1,1,
108,2,2,0,
155,1,1,1,
168,2,2,0,
186,1,1,1,
192,2,2,0,
195,2,1,1,
200,1,1,1,
204,2,2,0,
219,1,1,1,
222,2,1,2,
225,1,1,1,
228,2,1,2,
237,2,1,1,
240,2,1,1,
243,1,1,1,
246,2,1,2,
249,1,1,1,
252,2,2,2,
255,2,2,0,
258,2,2,0,
264,2,2,0,
267,2,1,2,
270,2,1,2,
276,2,0,0,
282,1,1,1,
285,0,2,2,
288,2,2,2,
294,1,1,1,
297,0,2,2,
300,2,1,1,
309,1,1,1,
312,2,2,2,
315,0,2,0,
318,1,1,1,
321,1,1,2,
324,0,0,0,
330,1,1,1,//New_phase
333,2,2,0,
336,0,2,0,
342,1,1,1,//x2
345,2,2,0,
378,1,1,1,
384,2,2,2,
387,0,2,0,
390,0,2,0,
393,0,2,0,
412,0,0,0,
0,0,0,0,
514408
212
B
