Invisible Chair - Kana Wakareno
160
8
4
10
8,0,0,0,0,0,0,1,1,
16,1,0,1,1,1,0,1,1,
24,1,1,1,1,2,0,1,1,
32,1,0,1,1,1,0,1,1,
40,1,1,1,1,2,0,1,1,
48,1,0,1,1,1,0,1,1,
56,1,1,1,1,2,0,1,1,
64,1,0,1,1,1,0,1,1,
72,2,1,2,1,2,0,1,1,
80,1,0,1,1,1,0,1,1,
88,1,1,1,1,2,0,1,1,
96,1,0,1,1,1,0,1,1,
104,1,1,1,1,2,0,1,1,
112,1,0,1,1,1,0,1,1,
120,1,1,1,1,2,0,1,1,
128,1,0,1,1,1,0,1,1,
136,1,1,1,1,2,0,1,1,
144,1,0,1,1,1,0,1,1,
152,2,1,2,1,2,0,1,1,
160,1,0,1,1,1,0,1,1,
168,1,1,1,1,2,0,1,1,
176,1,0,1,1,1,0,1,1,
184,1,1,1,1,2,0,1,1,
192,1,0,1,1,1,0,1,1,
200,2,1,2,1,2,0,1,1,
248,2,0,2,0,1,1,1,1,//huhu
256,1,2,0,1,1,1,1,2,//tachi
264,1,0,1,0,1,1,1,1,
272,1,0,1,0,1,1,1,1,
280,2,0,1,1,1,1,1,1,//atta_mo_ha_kuuki
288,2,0,1,0,1,1,1,1,//isu
296,2,0,1,1,1,1,1,1,//x2
304,2,0,1,0,1,1,1,1,
312,2,0,1,1,1,1,1,1,//x3
320,2,0,1,0,1,1,1,1,
328,2,0,1,0,1,0,1,1,
336,2,0,1,0,1,0,1,1,
344,1,0,1,1,1,0,1,1,//Back_to_start
352,1,0,1,1,1,0,1,1,
360,1,1,1,1,2,0,1,1,
368,1,0,1,1,1,0,1,1,
376,1,1,1,1,2,0,1,1,
384,1,0,1,1,1,0,1,1,
392,1,1,1,1,2,0,1,1,
400,0,0,0,0,0,0,2,2,
0,0,0,0,0,0,0,0,0,
